date,cleaned_user_name,cleaned_content,cleaned_title,rating
2024-09-04 09:27:11-07:00,scubastacy,used app two occasion track time successfully lost 25 pound recent time vowed never go back tracking recently app crashed long period time multiple occasion updating app io restarting app phone solve problem frustrating trying maintain consistency app stay running 5 star,loved app long time,3
2024-09-02 10:49:01-07:00,ibsheena99,good enough one knew free pay bye,lame,1
2024-09-01 19:05:40-07:00,chasec99,using app year found useful weight loss calorie tracking automatic adjustment overall integration among fitnessnutrition tracking apps however late app unreliable meal time app unusable due high server usage trying make recipe search individual ingredient sift dog cat food clog entire first 100 search result seen user online complain devs seems care enough anything usually option either keep scrolling find item add b choose extremely unreliable inconsistent user added item inaccurate nutrition reporting lead last point clunkiness server issue inconvenience add manually every item random bug app finally pushed away using anymore want seamless experience tracking macro like find another app especially pay regret spending money hollow app casually keep track thing app may however feel cannot use anymore,terrible recipe builder network issue galore overall clunkiness,1
2024-08-28 19:13:11-07:00,cmf233,love app ive using three month since transitioned another food tracking app hope theyll fix current glitch im adding ingredient recipe brings dog cat treat couldnt find shredded swiss cheese brought hundred animal food please fix issue,love get rid animal food,4
2024-08-28 17:33:29-07:00,duke007,ive used app couple year never issue recently wasnt able login email password recognize account deleted emailed support swiftscan support response slow suggest reset account instruction also suggest contact app okay sure without access app want show receipt payment payed 1 year via apple subscription show active apple account anyway nothing waste time dealing support service also feel little shady asked refund balance year update review result refund,able use app support,1
2024-08-28 16:14:39-07:00,cyabyeforever,used go app get nutrition information different food regardless type scan brings dog food know pushing buy 60 year subscription worth use another app upgraded feature continues im going delete phone sad see go bringing item im looking dog food,happened,2
2024-08-28 07:01:22-07:00,hsjdgxjeh,fitness pal refined app track sleep track step one app look better app outdated,app feature,3
2024-08-22 15:53:59-07:00,meiko2007,nice app apple watch app,good app,4
2024-08-07 05:43:23-07:00,gizelle anahi,app went top notch total disaster first started charging feature didnt work well report didnt make sense key functionality missing database went downhill multiple error missing data app sluggish take minute open open crash lot sad whoever literally dragged fun lively app grave ive fooducate daily user well 5 year im done,app gone downhill,1
2024-08-06 07:54:24-07:00,goincrzywanacom,love app offer far best one ive used yet lifetime subscription worth think major flaw though 3 star bc cant include vitaminssupplements daily log also dont like dont define activity level make hard gauge programming factor activity level knew appprogramming considered sedentary somewhat active active active feel id get much better result way accurate tracking app think app long way go,great app need improvement,3
2024-08-02 11:24:02-07:00,twilight jewel,error galore,error,1
2024-07-29 09:41:03-07:00,tc nash,app good intention fall short usability process log food tedius go create bespoke list food level detail needed average user provide eg calorie food rating fat carbohydrate feel like meant food scientist also ad annoying run across tol bottom app trying enter information often accidentally clicked ad want view good thing app got mental habit tracking meal confidence track without drama mavigating poorly designed user experience miss integration apple health app liked seeing water consumption exercise hour transfer message fooducate developer please try againi know better believe,many step log food,2
2024-07-23 21:24:43-07:00,gearheaddad,extremely helpful year really learning kind nutrition lack thereof ive getting diet helped immensely weight loss journey im nearly twenty pound since beginning year one apps ive ever spent money like muchadded bonus integrates really well apple health apps see nice bonus,helpful nutrition idiot,5
2024-07-22 15:10:05-07:00,trying2beebetter,food database isnt great scanning work sometimes food rated b dcame using fitness pal going back fitness pal,worth,2
2024-07-13 10:59:02-07:00,mrsiruletheworld,im starting app keeping eating habit order,great app,5
2024-07-11 20:19:29-07:00,romaalreves,got app looked like would give best option opinion food there still lot food need charge data also could nice instead community could private dairy could post picture note improvement easy access another thing difficult loading workout connected watch making difficult add step keeping track workout like hope update future stick,definitely great app could improvement,3
2024-07-09 10:34:15-07:00,ejjejjfh,great super helpful maintaining awareness food intake,fooducate,5
2024-07-04 09:54:46-07:00,miss unsatisfied 33,loved fooducate would check scanner see rating product reviewed greatnow im asked bunch question health giving info dont want give also scanner work checked tomato sauce wound system made tell scanning put backi uninstalling,used lot easier use,3
2024-06-24 20:01:36-07:00,sunbumm 101,first nutrition app ever purchased many year ago first available sophisticated fun ran supermarket asking people wanted nutritional value food buying ive tried apps fooducate easiest helpful far best app kind,best,5
2024-06-24 09:13:39-07:00,nipper48,eat healthier diet use app daily love seeing better alternative us apple health sync lose app fitbit know,back eat healthier using app,5
2024-06-21 01:09:56-07:00,sunlight7,there fooducate website used search food learn healthy buying search bar longer work even change browser hoping app would enable continue refer fooducate healthy food recommendation unfortunately want enter food im eating scan barcodes isnt useful shopping home disappointed way seem want interact anymore behind paywallupdate despite developer response search bar still doesnt work,unable search food,1
2024-06-13 09:29:37-07:00,calebjames,love app use everydayhowever keep saying able view product photo cant click product photo enlarge view also retain nutrition photo ingredient consumer review make product photo gallery type swipe make click photo becomes full screen like comment photo recipe hero imagesthe community tab updated recent version quality photo 1000 better also made side menu easier navigate draw back still cant access meal option list tab history like recipe cant viewed either go recipe tab desktop version app zero feature youre inputting full recipe easier desktop additionally youre receiving information people recipe viewing community tab desktop view stronger want people use podcast tab make available desktop could listen working desk,let click product photo enlarge,2
2024-06-04 06:30:47-07:00,slp19831109,3 day trial charged 53 ad able access feature keep getting prompt pay money could app really 100 gotten response customer service team yet would recommend app unless youre looking pay whole bunch money,deceitful pricing,1
2024-05-21 08:30:13-07:00,sheenachu,whenever eating habit break always come back fooducate get back track get better better time,always come back app,5
2024-05-16 17:07:16-07:00,20r6s,doesnt take software programmer realize discover going sell information along using device account email figure real name use website lot less incriminating,obviously trying steal info,1
2024-05-13 13:40:43-07:00,schmanners learner,app doesnt look nutrient also app bug week easy edit food entry meal,app bug,2
2024-05-10 17:47:51-07:00,oneorangepepper,ive never enjoyed tracking right fooducate like playing game want complete green circle want earn food choice fun fun fun,easy peasy,5
2024-05-10 08:12:05-07:00,lindsayk723,used able scan barcode input different food everything free pay everything app horrible,used love anymore,1
2024-05-02 21:46:37-07:00,brieinfinity,dont waste time logging image see show tracker protein carbs fat accessible premium subscription looking app focused macro calorie sugar expected protein fiber one bare minimum category ala wrong ill spare rant cant afford another subscription find ridiculous put common macro behind paywall making free version basically useless,premium track protein,1
2024-05-02 04:29:06-07:00,tedb314,lost 20 lb period four month app wasnt even hard logged calorie measured love app great database food also plug recipe automatically calculates calorie based ingredient key making work scale weigh finished recipe divide serving size based weight also love enter exercise app great runner importantly ive able maintain weight loss last eight month since reached goal 5 5 highly recommended,incredibly effective,5
2024-05-01 22:35:07-07:00,ismart,welp yuka seems fooducate setup subscription paid year ago hit restore refused recognize customer year deleted downloaded yuka instead paying something free,happened,1
2024-04-27 19:52:15-07:00,actuallyknot,need tablespoon teaspoon etc measuring pain convert gram ounce type app quick use people dont always eat serving ie dried cranberry oatmeal serving 14 cup tablespoon half cup thick rolled oat,quantity limited measure,1
2024-04-24 11:04:56-07:00,idioticnonamer,app work wonder got bc wasnt eating enough needed track food make sure getting enough calorie far ive using day greatyou add youre stuff recipe etc putting individual ingredient like apps end making allows track lot different thing sure need pay free version great im ngl thats ive using thus farits helped reach calorie goal doesnt shake eating certain food food score give ratio calorie quality aka youre getting enough calorie actually something body apps decide added sugar rating ruin score day feel add unhealthy view thing like sugar fat etcaltogether completely recommend app,love app,5
2024-04-23 04:54:39-07:00,123doreyme,need calorie counting app make sure toddler medical condition get enough calorie best calorie counting app ive found doesnt make get subscription use user interface easy intuitive 3 star every three second there pop prompting upgrade subscription asking money incredibly frustrating annoying app id using instead imagine trying record toddler calorie 2 second actually still close 2 ad rapid fire even get app ugh,best app annoying,3
2024-04-22 22:05:12-07:00,rae smores,wish searching date option measure youve eaten oz gram etc wish thing didnt used added oftentimes need updating sure,ok,4
2024-04-16 15:08:43-07:00,shinjukublack,idea behind app sound thats ive kept installed even though issue it1 database improved year missing many good item way enter database take photo email photo fooducate therefore missing food never entered database would require human staff entering detailsfood took photo submitted several time quite year yet added database doubt ever be2 feature like community forum originally free part app however developer prioritized monetization believe app sold new owner pushed monetizationbeforefeatures drive community disappeared behind paywall3 many ad added app impossible io listen music podcast medium continue playing ad make sure io constantly pause medium quite disruptive4 several year ive using app always confronted ad discount app discount end today case several year discount there price always offered time deadline thats called dark patternlike said like app concept behind great prioritization monetization form function good luck take lot value away app,better monetization,3
2024-04-16 12:01:26-07:00,mnucleus,great app far still way go write feedback team responsive awesome helpful,got amazing potential,4
2024-04-14 19:05:00-07:00,andream1124,account charged even though subscription canceled,charged even though subscription canceled,1
2024-04-10 15:00:03-07:00,chirodog,put serving size app sometimes math sometimes spent way long trying get work im done,super glitchy,1
2024-04-09 12:12:54-07:00,tay922m,limited use wish option ingredient amount recipe builder wish could share data user,great base need,3
2024-04-08 09:06:31-07:00,tess02358,love app,ease use,5
2024-04-07 16:30:36-07:00,tlrohr1,easy use love make input info needed also food choice listed,app,5
2024-04-06 08:25:08-07:00,ashurbanipal56912635,great app ruined privacy concern annoyance dark pattern become annoying condescending helpful removed phone without hesitation,used great become annoying condescending invasive,1
2024-04-02 09:03:31-07:00,janty shmanty,im signing password must 615 character ive tried multiple password within range get getting error need 615 make password excluding sign using letter number say already account created email even tho im brand new tried password previously attempted nothing error message request password change take url yet decline password formation attempt bad looking forward app guess use fitness pal instead way mini headache first impression,major sign glitch,1
2024-04-01 05:29:31-07:00,n1vl3ki,bought lifetime subscription doesnt even show,issue premium feature,1
2024-03-27 07:59:17-07:00,amfeistg,would nice answered support line expensive app decent job tracking food helpful someone trying gain weight,decent app,1
2024-03-18 16:54:59-07:00,puma269,got new iphone lost premium reached support email broken never heard back social medium reason im 2 star review,great app support broken,2
2024-03-14 07:14:59-07:00,neberheim,one star using data track personal private information health diet shame developer using commercial purpose,data tracking,1
2024-03-13 18:57:49-07:00,dissatisfied 129,ton issue product seems like always send picture product eat database app crashed kicked cant get back account contacted customer service 6 day ago still got response used two food tracker past much better one,terrible macro tracker,1
2024-03-09 08:38:53-07:00,dreaminblu6,fooducate good lot thing sometimes find hard navigate within app change thing eventually figure love feature compare food choose best one,good,4
2024-03-08 18:03:35-07:00,whats rating,putting info could finish app said allowed use due age 14,age matter,1
2024-03-07 05:49:41-07:00,jarik25,ive looking long time find app right even monthly price bad,found,5
2024-03-05 13:38:18-07:00,scott28906,life time membership latest update wont let sign wont send password reset,kicked account,1
2024-03-03 10:52:40-07:00,gltrgrl71,loved app worked great set lose 17 menopause september back normal weight 112in three month ate normal food veg fruit healthy snack chocolate white wine small portionsso wasnt denied anything im clean fresh food eater gf nitrate soy red meat free decade enjoyed seeing average rating daily eat ton food daily never hungryand even got birthday thanksgiving christmas flying color bought air fryer enjoy healthy fresh air fried veg clock added recently help dont time record immediately list later great im trying lose weight youre tad ocd work cheat youre cheating make aware quality calorieor carb lose junk sugar fat still quality treat,loved easy,5
2024-02-29 07:54:37-07:00,fairywench,many food missing info potassium content bought app kidney disease app setting kidney disease vegetable listing amount potassium crucial information people need without app pretty much useless im still check everything individually fda database,potassium info,2
2024-02-28 15:04:20-07:00,ddun23,debating app myfitnesspal wanted use one since cost almost half per year camera scanning item deciding factor im sure whats wrong backwards upside would try scan something app camera function issue seems like good app scan lot thing wouldnt work,really wanted like,3
2024-02-28 06:16:04-07:00,berilith,great app far enjoy easy add food restaurant could make suggestion would really appreciate feature integrate taking medication would really make one app solution health management,great app,5
2024-02-27 18:55:35-07:00,eatanassstick,app good free stuff really push membership,good app,4
2024-02-21 23:48:48-07:00,cutlass50,spp improved knowledge good made processed try cant go wrong healthy,great app,5
2024-02-20 08:21:41-07:00,bo0berry,app many year many update got app loved app recommended everyone help improve healthier choice food help read label offered healthier option item year ago update added option tracking food nice wanted one stop shop app still able use scan product see healthy little less informative before22024 almost fully moved whole educate portion app food people ate view full educate purchase subscription main focus tracking bare minimum education food may lead finally getting rid app changed less use app,,3
2024-02-19 17:34:34-07:00,rawbee64,ive using app long time started website app simple easy use highly recommend im diabetic helped lot ive app year ill try something new come back app,great app,5
2024-02-12 06:23:46-07:00,zora chip,purchased app full version year ago wanted start using information gone ad pop asking buy pro version already still get email news please let know happened,app,1
2024-02-11 12:50:42-07:00,toby hosterman,really love app deletedcancelled 3day free trial found food database limited yes could go effort add food manually wouldnt nicely classifiedcategorized grocery listing fine restaurant fast food someone who trying limit calorie rightsize nutritional mix app didnt give info needed considering order nonfast food restaurant keep eye see improves app fantastic present nutritional info,great app limited food database,2
2024-02-07 08:50:53-07:00,james36,best app get food educate one place app,five star rating,5
2024-02-04 23:23:45-07:00,holdyoear,year scan barcode work,scan barcode never work,1
2024-02-02 07:29:17-07:00,megolah,super disappointed subscription paid reason kicked account able get back account trying get help developer well week gotten help there way contact developer outside email address ive sent follow email see status ticket response app worked really well able use paid subscription cannot recommend app something go wrong likely get help,likely get help need,1
2024-02-01 18:01:44-07:00,jjewella,app free bait switch listed free apps deleted,free,1
2024-01-31 17:41:56-07:00,stew4cola,many ad,good,1
2024-01-29 03:12:40-07:00,thvdfghj,app really help count calorie make healthier choice offering alternative ultimately lose maintain healthy weight,love app,5
2024-01-28 15:04:04-07:00,recipeuser,ive used app several month really like dashboard everything want see helping make better food choice negative wish could import recipe recipe app could least import recipe url mostly cook scratch enter ingredient individually recipe thing keeping using app,love,4
2024-01-27 09:43:32-07:00,levskyusa,app mostly good filled bug barcode photo crash almost every time tried reinstalling luck try add new food item allow even though email associated acct nutrient fact entry incorrect developer check usda fndds,good app need lot improvement,3
2024-01-27 06:29:25-07:00,brittnyterra,scanner work requires close reopen app several time also rate thing like pickle c doesnt explain,scanner work barely,1
2024-01-25 20:10:08-07:00,alexandra real 1,great app wish updated database food almost zero knowledge latin food ethnic food unless packaged box difficult time logging anything wasnt simple meal like boiled egg toast,good app basic cuisine,3
