date,cleaned_user_name,cleaned_content,cleaned_title,rating
2025-09-26 04:38:31-07:00,starsinorbitt,bought year worth lose premium feature day seems bugging scan feature working spend money feature wanted even work plz fix,good app bug,2
2025-09-26 03:31:40-07:00,siderson5,love easy informative app,good,5
2025-09-26 03:23:13-07:00,ejpoki,app year updated free version minimal tool atkins app much better bad supported anymore,get pay,3
2025-09-25 16:39:11-07:00,forestwier,normally 5 star 1 star bug fixed new update caused crash fixed nutrition calorie button pushed dashboard,great app crashing iphone scrolling dashboard io 187 review,1
2025-09-25 09:45:22-07:00,southerndude67,dont recommend app tracking keto diet seems like based planning info using track keto frustrating correct calculation include sugar alcohol ability manually add food tend incorrect nutrition measurement also frustrating either provides one option one needed finally tried sell constantly even paid subscription doesnt market keto app subscriber stuck pay advance current plan end look flexible inclusive app price point app make sense include type healthy option plan,good keto diet,2
2025-09-25 06:14:49-07:00,bairdjr1,great app,jr,5
2025-09-25 05:28:40-07:00,alexshreeve,love app wish option toggle set gaining weight losing ca manually ux primed losing struggle match goal,add bulking option,4
2025-09-24 02:19:08-07:00,nadia shami,helped monitor calorie intake everyday last 3 year thank helping weight loss journey pregnancy,,5
2025-09-23 16:28:23-07:00,lori1027,disappointed im sure happened lost ability scan food premium member perk use consistently throughout day time try use make app freeze please fix problem otherwise love app,premium member cant scan food,1
2025-09-23 11:26:31-07:00,bamacaea,disappointment feature like using camera scan food barcodes taken away forcing people upgrade premium course cost money ridiculous,removed camera feature cash grab,1
2025-09-23 06:08:51-07:00,rebekahann8,starting slow last 10 lb finally feel free terrible extreme putting feeling much better physically snd mentally always know track signed lifetime never ever want without lose app 73 thankful program,love,5
2025-09-22 07:33:18-07:00,bakeryhouse05,cancelled subscription month ago yet im still charged 2999,fraud,1
2025-09-22 04:01:54-07:00,heartich0ke,ive used app reach weight goal track caloric intake recently wanted start losing weight loaded find feature used free locked behind paywall cant scan barcodes anymore without paying subscription ludicrous,great locked behind paywall,1
2025-09-21 17:35:10-07:00,anon573,read several review provided lose support free version however today 092025 longer free version available,free 7 day,2
2025-09-21 13:42:41-07:00,bingbong330,signed didnt use enough tried find cancel cant deleting account doesnt cancel subscription seems fishy like scam,pain cancel,2
2025-09-21 09:11:13-07:00,cxandra92,great app,would love gave option log time meal,4
2025-09-20 22:49:59-07:00,ravenjewelb,lost 75 lb recently added insight eating habit pattern learning lot love app much,still loving lose,5
2025-09-20 20:21:21-07:00,yellek96,started using app march 12 2016 missed day tracking goal lose 1520 pound kept far best app tracking calorie count people think im crazy constantly counting calorie definitely work stick,9 year strong,5
2025-09-20 18:35:06-07:00,te pj,please let u know simple update v unchanging selfaggrandizement post every single updatethanks,update,3
2025-09-20 15:30:52-07:00,dylpineapple,ive using lose year back college even stopped using hopped back last year though helped reach goal never thought could really wonderful option tracking nutrition weight loss progress issue consistently food option honestly food option point rare enter something completely new holy cow autocorrect food tracking absolute nightmare mechanism learn food name regularly use anything lose specific search tool io ill type built protein bar without asking search guilt ill type seeq protein drink auto search seed force press blue text say something like search seeq click really need improvement text input need completely get rid auto switching properly spelled word ton food company name arent spelled right commonly happen regularly get old thing didnt autocorrect commonly used one would pop right top every time autocorrect app mess,best one health tracker,3
2025-09-20 14:10:08-07:00,physv,app used work perfect without buy subscription forced upgrade cost lost history trying sell glp1 drug disappointed tired getting nickel dime single thing want use watch cost add cant afford disappointed noom,free option longer available,1
2025-09-20 10:50:16-07:00,travisharger,ive tried lot calorie tracker always come back lose itwith said would like visual update generally way turn lot clutter distraction really focus calorie macro nutrient dont need recipe dont need fluff im glad thats offered people wish way hide iti also think design perspective lot thing could done make app look feel better also really hope liquid glass implementation soon,fav calorie tracker,4
2025-09-20 10:44:05-07:00,cmikef,share via button stopped working longer share recipe without creating account assume,share via,1
2025-09-20 09:24:37-07:00,pouuob,tracking calorie never easier truly genuinely love app much bought full version soon possibly could use every day feel good knowing going body much even app doesnt food already easy add food different recipe,love app,5
2025-09-20 04:31:47-07:00,im brent,using part daily routine help make better eating decision ive maintained successful weight management year thanksgreathealth dailyroutine weightmanagement,app keep track,5
2025-09-18 18:17:48-07:00,dreamfairee,acct linked apple health adding workout want workout cal burned subtracted daily cal go every day change workout exclude still removing cal burned daily total need see daily cal intake info like carbs protein,workout,1
2025-09-18 14:02:16-07:00,57,ad annoying,good,3
2025-09-18 06:56:50-07:00,d02139,im lifetime member recent update order maintain weight automatic budget set one number burn rate set much higher 09182025deleting reinstalling app doesnt fix issue,budget burn calorie,1
2025-09-17 09:46:27-07:00,qui ti u,app advised best taking pic food every time try pick one two food separate whole ie sandwich many color feature confuse also ive trying refund two day downloaded customer service responsive first made cancel account subscription keep sending automated email refund order refund need enter account made close beginning process poorly customer service,food found,4
2025-09-17 09:05:30-07:00,freajm,get theme premium user even color like change theme every month wish choose,premium feature,3
2025-09-17 08:58:10-07:00,directorx,great app lot data tracking graph insight ui feel outdated please update liquid glass modernize visuals widget could use visual customization option water tracking still isnt going health data year later good stable app could try little harder finer detail especially subscription app,used 7 year straight,4
2025-09-17 08:27:01-07:00,pjlyness,bought lifetime subscription year ago couldnt get fitbit sync app reinstalled app couldnt get logged support telling dont subscription contacting bank refund dont use app worth hassle,use app zero star,1
2025-09-17 06:17:39-07:00,appplle steal,disappointed lose app week initially thought improvement popular competitor app really liked lose used scroll wheel combo input serving size unit number changed app splitting simple input method two standalone box require manual input typing dont programmer know make app userfriendly less trying copy competitor think better app want refund app paid,unfriendly,2
2025-09-17 00:42:41-07:00,thisiscrap101,app updated locked several free feature using year behind paywall app deleted,pay free feature,1
2025-09-16 17:18:46-07:00,nana 510,bare minimum free,bare minimum free,3
2025-09-16 14:30:58-07:00,768533sogkg,never bought app im big updating macronutrients month month realized cant customize macronutrients phone app dont bother app better one available,hate cant customize macronutrients app,1
2025-09-16 11:46:53-07:00,wild willie 2000,love upc scanner log food game changer health weight 11 lab super,great app,5
2025-09-16 10:44:42-07:00,wish 21,indispensable weight loss journey easy use thank,superb calorie counter,5
2025-09-16 10:23:44-07:00,jkra20,app bombard excessive question initial setup frustrating time completed account setup annoyed longer wanted use app,annoying,1
2025-09-15 18:03:13-07:00,jpellino,keep getting worse upon time nag ware would simply remind buy shifted adware every time finish adding meal go advertisement wade able get back see easier quit app restart every time ad simply arent getting anybody buy anything,ad ware versus nag ware,3
2025-09-15 17:28:37-07:00,brittthetrainer,personal trainer used many nutrition apps year lose far favorite recommend client friend regularly continue,best food tracking weight loss app,5
2025-09-15 11:23:55-07:00,hammer,overall app good every time take break get long annoying survey im opening lose appits task mind entering data getting forced skip 8 question survey every single time decide start tracking encourages never use app minimum there need setting turn survey offbut also decrease frequency triggering dont want huge user churn,patronizing unskippable survey,1
2025-09-15 09:20:39-07:00,siliasfox,everything need lose weighttracks everythingand work perfectly daily fast,amazing app,5
2025-09-15 04:55:58-07:00,happy cal counter,began using app lose small amount weight overweight happy saw mirror reached goal maintained 1400 day counting calorie using app process learned value eat nourish happy visual result taking care body,weight maintained,5
2025-09-15 03:15:57-07:00,patriotssrs,joy ive journey since 2012 ive two really bad accident lost first loser account couldnt remember password 2015 started 350 pound today hit 180 hard believe im headed goal 175 anybodys guess,journey,5
2025-09-14 11:52:00-07:00,27396322,downloaded app wont let cancel subscription log food worse last app,cant log food,1
2025-09-13 12:07:06-07:00,heyheyhey1,know app literally called loseit past literally option use gain weight there none told maintain weight add extra calorie thats wanna im gonna go app gain weight option,im trying maintain weight,2
2025-09-13 10:11:27-07:00,lookforgood123,colleague told app 2010 using ever since downloaded wanted lose weight 37 lb lighter highest weight many ups down without question app big reason im able buckle back lowest healthiest weight decade im dealing preosteoporosis need able ensure optimal level protein potassium calcium app helping track love free version much functionality built keep engaged happily enthusiastically paid member year benefit additional feature also support creator maintainer app positively contributed health wellbeing also easy submit feedback request feature ive already 2 feature request show app like coder back waiting quickly implement enhancement help use free youll see nothing else compare breadth functionality ease use,using 15 year,5
2025-09-13 06:16:18-07:00,lindholm30,enjoying app cannot enter measurement left right bicep thigh also missing option calf forearm measurement also option calculate bmi would purchase lifetime optionsi like app sync apple health pull activity,almost option,3
2025-09-13 05:44:25-07:00,disappointed granny,deleted app due monthly fee greed must reason charging monthly premium think shame,used free,1
2025-09-13 05:19:18-07:00,thedr66,app worth disciplined follow app lose weight magic portion control eating right easy reach goal food stored easily scanned im 7 lb 2 week counting,keep aware,5
2025-09-13 05:04:51-07:00,hollakoala,appreciate celebration little win within bigger goal app offer great insight day day eating habit absolutely love fitbit incorporation recipe tool fantastic love swapping ingredient online recipe make healthier goal thing wish app option build quick grocery list using saved recipe dont want see milk shopping list example want see many cup im needing planned meal overall wish id started using sooner trial paid year,great motivator,5
2025-09-12 14:45:55-07:00,jakt8366,noom several year gave many calorie eat day never lost weight thrilled progress lose,best app,5
2025-09-12 10:06:08-07:00,nicholas9,barcode scanning longer free feature,barcode scanning,1
2025-09-12 04:43:04-07:00,ramsey1415,well worth money nothing helped stay track better trying lose weight,worth,5
2025-09-11 11:10:58-07:00,ragnar american viking,good afford,losing calorie,5
2025-09-11 10:58:41-07:00,colo2dfw,best one found accurate,easy track,5
2025-09-11 06:51:56-07:00,austinlh,tried several food tracker program none easy use able access wide variety food item,easy use,5
2025-09-11 05:01:20-07:00,dee cee fazz,lose instrumental helping track food really understand eating helped lose 10 pound far,great help,5
2025-09-10 21:06:54-07:00,ecrigem,way apps work yes learning curve action intuitive fitness connection work logging food structured way save time fewer click overall nice graphic friendly feel great product,great,5
2025-09-10 17:40:24-07:00,lyneharps,difficult subscription cancel ever within free trial period cant cancel app cancel app store problem subscription doesnt show app store cancelling account also doesnt cancel subscription absurd force pay havent committed interest using appvery scammy shocking,impossible cancel,1
2025-09-10 12:42:07-07:00,spiky15,honestly say would achieved weight loss goal without lose faithfully logging nearly every day almost 2 year ive lost 45 lb reached healthy bmi ive also greatly increased energy fitness level age 71 thank lose wish folk would try would change life,indispensable weight loss tool,5
2025-09-10 11:40:54-07:00,momdubb57,app help keep macro totally check helpful changing eating habit love,tracking food intake,5
2025-09-10 10:00:53-07:00,strivingpotato,bring back scan tool free,bring back scan free,1
2025-09-10 09:28:07-07:00,bethuhknee,seems like decent app far biggest complaint section put recipe doesnt allow lot food added weight gram volume cup fl oz ect feel like huge flaw weighing food one accurate way track calorie dont know many fl oz canned bean tell gram,please add gram recipe maker,3
2025-09-10 04:47:26-07:00,1 way way,lose work fun convenient app visually appealing like icon fact every food think library ive lost 10 pound far track lose 10,work,5
2025-09-09 09:13:09-07:00,jesus freak62,set goal put calorie intake looked calorie taking became conscious aware everyday daily allowance still using free,lost 20lbs 2 month,5
2025-09-09 07:58:12-07:00,typeo,app amazing someone got money hungry started shoving ad everyones throat along taking away barcode scanner really barcode scanner whole switch scream desperate money deleting app since definitely better one choose,money hungry desperate,1
2025-09-08 19:06:59-07:00,junxuayuan,dont waste time free app,dont waste time,1
2025-09-08 07:48:14-07:00,güario diego rey,started april 210 174 less 5 month combination weight lifting walking 10 thousand step 5 day week help reach goal,optimal getting goal achieved,5
2025-09-07 21:12:13-07:00,katwomanje,ive using app long time tried premium version year ago didnt use feature possibly worth paying truly appreciate free app amount ad popups asking upgrade increasing point getting insane almost feel like im getting bullied pay try stop would pay dollar make ad go away im going pay premium price try hurry logging every time touch anything something pop sometimes swipe app altogether yet another ad pop im trying log day becoming real turn im going pay premium get rid ad cant remember im going find im sure there apps strictly log calorie need,good many popups,4
2025-09-07 07:51:53-07:00,shikooz,would nice could add step took day use pedometer dont apple watch time avoid emf,pedometer,5
2025-09-05 15:10:12-07:00,tinanoir2,using applicationapp time actively inadvertently become sporadic behavior app record missing info ready record mind work real time projection future weight readily available im user like see fruit effort recognized constantly receiving positive energy weight loss weight maintenance etc app investment self,eternal optimist,5
2025-09-05 04:35:39-07:00,merrillthe,used many calorie tracker apps far best user friendly recommend paying premium service,love app,5
2025-09-04 22:38:04-07:00,fisherinc,lose helped lose weight track calorie perfectly super easy even cant find exact food product scan barcode im pretty sure recipe perfect scale home track gram milliliter ounce ive since sixth grade im freshman college would love see apps truly amazing,best app weight loss,5
2025-09-04 21:11:13-07:00,rik 114,worst onslaught unwanted ad free app ad go ononon without skip option x finally arrives work brings one flipping ad siteit unwanted obnoxious exploitativethe recourse lose address assiduously avoid everything one see ad fori think one star perhaps bit generous consider free enjoy tortured,aggressive unwanted ad,1
2025-09-04 15:36:43-07:00,kingdomsaint,would sync across device would happily give five star review,sync across device,1
2025-09-04 10:14:48-07:00,drzoltar,like app really need feature log calorie per serving since whats commonly listed food label logging beverage per ounce cumbersome unnecessary,decent lacking one key feature,4
2025-09-04 09:45:27-07:00,newmanph,free older version upgrade lost free version least free version ad pro version feature,paid app,1
2025-09-04 09:39:37-07:00,dis,would recommend,garage,1
2025-09-04 04:29:46-07:00,sgoodin142000,made losing weight much easier accurate food date helped lose 105lbs last year,easy tracking goal setting,5
2025-09-02 21:08:51-07:00,shakey w,love app,coolest,5
2025-09-02 14:28:24-07:00,iloatheads816,ad pop randomly ruin experience,insanely obtrusive ad,1
2025-09-02 12:39:51-07:00,opheliabunghole,app gone lot change year better recently removal brand much nicer narrow meal option restaurantrather typing name every time need add itemit slows logging process already pain also miss camera scan ability would autofill macro neither change better,bad change,2
2025-09-02 11:26:18-07:00,latinanat,thats thing helped understand order lose weight cut calorie mind blowing many consumed prior 3 week 7 pound wanted lose one year exercising great app must everyone trying lose weight,,5
2025-09-02 07:13:29-07:00,pat buffalo,miss tab restaurant brand name grocery market make locating exactly looking difficult,missing,4
2025-09-01 18:05:09-07:00,,app everything could ask scanning barcodes scanning picture although theyre locked away behind membership cost 40 month dont membership still good need put food manually another thing im fan app lot food item click dont nutrient table theyre well made certain people used app app clue content unless manually put app great help lose 10 pound track lose another 20,good minor annoyance,4
2025-09-01 13:16:10-07:00,mbreedie,easy use macro almost always wrong especially entering recipe,need accuracy,3
2025-09-01 10:51:26-07:00,inputfailed,far app helped lose 25 pound 190lbs 165lbs roughly 110 day tracking calorie open eye massive amount calorie consuming daily basis given insensitive work,best calorie counting app,5
2025-09-01 10:35:56-07:00,dglenn357,lost eye opening app never felt need track calorie decided give try surprised many caloriesnutrients consume day app really helped conscious eat additionally app userfriendly,big help,5
2025-09-01 10:15:24-07:00,beckyahern,recent update day reach target burn 9k step day barely make 13k step inconsistentthat said calorie tracking bar code scanner snapshot option great easy use pretty accurate paying attention,food tracking good exercise tracking much,3
2025-09-01 07:45:24-07:00,ecal101,signed gave option 1999 however wife downloaded app charged 3999 deleted app never use,sad marketing,1
2025-08-31 13:48:56-07:00,dreamhousegirl,used voice logging add item breakfast went back add item breakfast deleted item already logged could accumulate item please let know im something wrong bug system,let edit meal,2
2025-08-31 13:08:23-07:00,acshea5,ive used app several year helped aware calorie intake love feature like scanning barcodes enter food quickly creating custom recipe calculate calorie serving size customizable fit several type diet goal better affordable fitness pal app tooi would like see app provide bmr calculator figuring determine calorie deficit fat loss app already collect detail required calculate build automatically,great app setting goal tracking,3
2025-08-31 10:12:49-07:00,c hoffman,dont blindly go whatever app half information bad people dont enter item correctly two starbucks item today short calorie 480 calorie item listed 400 calorie wont loseit kind information people starbucks provides accurate nutrition information even verified item cant trusted way nutrition always verify package online nutritional information trusted source dont shy fixing ridiculous number silly measurement good tool use long personally verify correct lost 25 pound age weight loss nearly impossible,check nutrition,3
2025-08-31 06:23:25-07:00,matt ash,tried cancel free trial there link say purchased apple account go subscription yet doesnt show unhappy charged year hoping refund get cancelled,fake free trial,1
2025-08-30 16:57:44-07:00,gardenmate,always loved app there one feature still maybe asking directly could add pleasewhen adding water even tap water flavored water bottle etc specify amount eg 12oz get added apple health water intake rely apps useso add water intake manually add lose also keep thing sync good solutioni know would possible add really asking doi actually mainly use app due diabetes needing track water nutrition data type supported would great even nice etcand already support caffeine strangely water scan soda long caffeine nutrition info sync apple health caffeine intakeive used app track thing close decade probably would first feature request assume lot people would benefit wellbut either way thanks great app could lot better support syncing water data apple health,water sync apple health please,4
2025-08-30 15:15:23-07:00,mile high kev,paid version bloated ad still continue harass,many ad,1
2025-08-30 12:55:46-07:00,bjf807,used great keep making worse every iteration reason recommend finding better app used able automatically add workout exercise calorie apple watch would show cross manually add add manually day app deletes recast make difficult im goin look user friendly app cant fix camera longer work scanning either,used good,2
2025-08-30 07:02:00-07:00,kolivep,used love app theyve taken away lot free feature locked behind pay wall biggest longer scan barcodes food shame app really help lose weight im paying 40 year premium could move different app feature free better apps free,longer free,2
2025-08-29 18:30:18-07:00,woopy boy,used app 5 year loved started taking away functionality free version premium use barcode scanner thats really low plus cant even set plan without apps constant begging become premium dont waste time better apps,desperately want money,1
2025-08-29 16:15:26-07:00,camden crump,app store say 4 app say 18 older waste time putting everything nothing 18 healthy like,age,1
2025-08-29 05:31:22-07:00,cbizzle,paid premium still get ridiculous amount popup ad open app super annoying please stop,stop ad,1
2025-08-28 20:12:23-07:00,colistian,using app last 35 yr since 2014 always found user friendly interface great database ive seen grow communicates great garmin connect im fan,longtime satisfied user,5
2025-08-28 19:08:12-07:00,serinde24,sure latest lose update latest iphone update camera doesnt work cant take picture food scan barcodes tell need enable camera go setting there place enable camera,update took away camera,2
2025-08-28 06:50:56-07:00,sj633,free trial app decided 3 day one week long trial ready commit subscription canceled subscription want pay fee reminder phone supposed last day trial double check everything canceled day trial ended even though already canceled everything deleted app got charged mistake happen went get refund refund process way complicated get redirected like app even gonna consider paying premium month finance tight difficult process getting app,worth hassle,1
2025-08-27 15:08:57-07:00,astroshag,app used amazing incredibly difficult find food database restaurant supermarket removed mean type food search possibly hundred food find one youre looking ive used app long time due looking replace,please bring back supermarket data base,2
2025-08-27 14:29:55-07:00,lettucemuncher,ive lost 16 pound using app helpful,thank,5
2025-08-27 12:46:57-07:00,tamb157,app let cancel free trial ive requested refund send email confirm request cant sign account prompted bank help charge dispute without proof cancellation receive,get app,1
2025-08-27 10:36:10-07:00,laflower121,okie im teen right since nine ive chubby medical condition 3 year finally cured didnt like way felt spent year working exercise still 10 pound til reach want decided get app help help really easy use dont need premium still great experience,love,5
2025-08-27 06:20:58-07:00,sumner coleman,senior rivera division novice serving kinda wasteful,big ghandi,5
2025-08-27 06:10:07-07:00,strongmanbrando,great app person already know downloaded 5 minute still answering question dont care also appeared cant customize exact number many calorie macro want app person know plan already need track,option skip extra,3
2025-08-27 04:22:24-07:00,dg1h1t,paid premium lifetime access quality application keep going lag time camera doesnt work restart whole phone order enable keep breaking every single time,always lag camera never work,1
2025-08-26 20:04:52-07:00,danlarz,free barcode scanner life huge lie came myfitnesspal took away bar scanner free immediately fell love app even paid version instead giving new feature took away free bar scanner added paywall scummy behavior,false promise,1
2025-08-26 20:03:00-07:00,phoedabee,overweight almost whole life never much mu health risk always 2040 pound im supposed weigh got app asked many calorie eat day id say maybe thousand wrong didnt realize many eating got lose probably 1800200 calorie day way much app made realize dont eat lettuce water lose weight portion food im eating 1300 calorie day lost 10 pound since july even without premium 100 recommend app,ive lost ten pound already app,5
2025-08-26 07:58:18-07:00,app usern,ive unsubscribed deleted app still want charge 40 cant unsubscribe deleted account ive already unsubscribed,keep charging 40,1
2025-08-26 06:10:14-07:00,leha98040,great apps help manage calorie work,great versatile easy,5
2025-08-26 02:11:07-07:00,medmom1,lose app many year past least helpful simple motivational however ad popups disruptive find may delete whole thing shouldnt need go premium level app used also less motivational element previously previously thing like firework well logging intake youre told good job thats,commercial drive nut,2
2025-08-25 20:50:54-07:00,slhindhska7,ive lost 36 pound far,amazing,5
2025-08-25 19:32:03-07:00,emallin,way cancel trial trying day faq doesnt work cant find way connect person support ive charged full price,cant cancel trial,1
2025-08-25 16:19:12-07:00,tsi sara,picture paying membership dont pay membership anymore picture history weight loss gone,app help lose weight 60lb,1
2025-08-25 14:45:12-07:00,cellatanidino,paying premium membership year barcode scanner never seems fixed broken last 6 month despite multiple ticket added,barcode scanner,2
2025-08-25 12:24:58-07:00,chipsandsalsa06,changed see many calorie ate macro like protein carbs fat stuff call behind paywall super disappointed,cant see macro,1
2025-08-25 06:26:36-07:00,donna bee,app helped lot keep track food like different diet offer every day life,easy lose,5
2025-08-24 17:15:57-07:00,trish83739,let cancel subscription everything,card turned,1
2025-08-24 08:48:20-07:00,blissfultaster,using app several year keep honest track food calorie set new goal track weight daily nothing else love loseit easy use friendly vibe like support best self,intuitive usable app,5
2025-08-24 07:54:09-07:00,bbyheav3n,dont get app free trial let cancel subscription keep charging whoever developed app scammer arent getting money go ahead keep ignoring email keep charging,dont get,1
2025-08-23 17:51:07-07:00,mikamitch19,ive using premium version applfor month basic version felt like lot work term getting favorite food history premium able take picture accurately add item quickly really come handy dish lot ingredient like salad pasta dish also capture quantity ingredient also like customize macro addition different eating plan like heart healthy low fat etcmy biggest complaint like appl keep track activity phone watch automatically give extra calorie eat activity higher way turn bonus calorie still capturing activity im working eat calorie back,great appl,4
2025-08-23 14:24:05-07:00,lose app,really like app used think didnt eat many calorie started using lose app helped get track tried upgrade paid version right stop see thing get unlocked dont see protein intake get unlocked could option id think upgrading next step mefor calorie tracking calorie tracking app recommend app like able customize everything eat scan barcodes add restaurantsfast food item interesting article nutrition helpful app thank,recommend,4
2025-08-23 09:56:10-07:00,esmerainer,take long get actual calorie counting initially many popups really pushy premium feature,spammy,1
2025-08-23 04:57:14-07:00,grateful terri,apparently even pay app still constantly solicit advertising,paid app still constant solicitation advertising partner,1
2025-08-22 07:16:00-07:00,jim slack,tried every app market never kept tracking lose easy motivating work,love,5
2025-08-22 04:21:34-07:00,dopey,there delay pressing log like idk hasnt fixed,delay,4
